set,set_name,set_type,released,n_printings,n_priced,coverage_pct,classification
plst,The List,masters,2019-04-11,4749,0,0.0,GAP
unk,Unknown Event,funny,2023-02-17,506,0,0.0,GAP
mb2,Mystery Booster 2,masters,2024-08-02,384,0,0.0,GAP
soc,Secrets of Strixhaven Commander,commander,2026-04-24,375,0,0.0,GAP
sum,Summer Magic / Edgar,core,1994-06-21,296,0,0.0,GAP
spg,Special Guests,masterpiece,2023-11-17,138,0,0.0,GAP
cmb2,Mystery Booster Playtest Cards 2021,funny,2021-08-20,120,0,0.0,GAP
cmb1,Mystery Booster Playtest Cards 2019,funny,2019-11-07,120,0,0.0,GAP
pclb,Battle for Baldur's Gate Promos,promo,2022-06-10,99,0,0.0,GAP
pfin,Final Fantasy Promos,promo,2025-06-13,94,0,0.0,GAP
pwar,War of the Spark Promos,promo,2019-05-03,92,0,0.0,GAP
pdom,Dominaria Promos,promo,2018-04-27,92,0,0.0,GAP
pstx,Strixhaven: School of Mages Promos,promo,2021-04-23,90,0,0.0,GAP
pmkm,Murders at Karlov Manor Promos,promo,2024-02-09,90,0,0.0,GAP
pbro,The Brothers' War Promos,promo,2022-11-18,89,0,0.0,GAP
pkhm,Kaldheim Promos,promo,2021-02-05,87,0,0.0,GAP
pecl,Lorwyn Eclipsed Promos,promo,2026-01-23,87,0,0.0,GAP
pvow,Innistrad: Crimson Vow Promos,promo,2021-11-19,84,0,0.0,GAP
pmid,Innistrad: Midnight Hunt Promos,promo,2021-09-24,84,0,0.0,GAP
pltr,Tales of Middle-earth Promos,promo,2023-06-23,84,0,0.0,GAP
pafr,Adventures in the Forgotten Realms Promos,promo,2021-07-23,81,0,0.0,GAP
pdmu,Dominaria United Promos,promo,2022-09-09,81,0,0.0,GAP
pmh3,Modern Horizons 3 Promos,promo,2024-06-14,81,0,0.0,GAP
pfdn,Foundations Promos,promo,2024-11-15,81,0,0.0,GAP
ptdm,Tarkir: Dragonstorm Promos,promo,2025-04-11,80,0,0.0,GAP
